;0;1;2;3
0;;0.17334680588301335;;0.19742186120430866
1;;0.2272151898734177;0.09611992945326278;0.06915807560137457
2;;0.07267441860465117;0.10119047619047619;0.0
3;;;;
4;;;;
5;;;;
6;;;;
7;;;;
8;;;;
9;;;;
10;0.12183729077462048;0.0;;0.25
11;0.08855534709193245;0.4533781114184117;0.1113778204512722;0.06949977866312528
12;0.028119507908611598;0.0;0.16289592760180996;0.0
13;;;;
14;;;;
15;;;;
16;;;;
17;;;;
18;;;;
19;;;;
20;;;;
21;0.17982456140350878;1.0;0.0;0.0
22;;;;
23;;;;
24;;;;
25;;;;
26;;;;
27;;;;
28;;;;
29;;;;
30;;;;
31;;;;
32;;;;
33;;;;
34;;;;
35;;;;
36;;;;
37;;;;
38;;;;
39;;;;
40;;;;
41;;;;
42;;;;
43;;;;
44;;;;
45;;;;
46;;;;
47;;;;
48;;;;
49;;;;
50;;;;
51;;;;
52;;;;
53;;;;
54;;;;
55;;;;
56;;;;
57;;;;
58;;;;
59;;;;
60;;;;
61;;;;
62;;;;
63;;;;
64;;;;
65;;;;
66;;;;
67;;;;
68;;;;
69;;;;
70;;;;
71;;;;
72;;;;
73;;;;
74;;;;
75;;;;
76;;;;
77;;;;
78;;;;
79;;;;
80;;;;
81;;;;
82;;;;
83;;;;
84;;;;
85;;;;
86;;;;
87;;;;
88;;;;
89;;;;
90;;;;
91;;;;
92;;;;
93;;;;
94;;;;
95;;;;
96;;;;
97;;;;
98;;;;
99;;;;
